network,avg_price,min_price,max_price,stores
SUPECO,11.29,11.29,11.29,17
AUCHAN,13.89,13.89,13.89,14
SELGROS,14.32,14.32,14.32,15
CORA,14.49,14.49,14.49,5

network,price_date,avg_price
SELGROS,13.04.2026 20:00,14.32
AUCHAN,15.04.2026 04:00,13.89
CORA,15.04.2026 04:00,14.49
SELGROS,15.04.2026 04:00,14.32
SUPECO,15.04.2026 04:00,11.29
AUCHAN,15.04.2026 20:00,13.89
CORA,15.04.2026 20:00,14.49
SELGROS,15.04.2026 20:00,14.32
SUPECO,15.04.2026 20:00,11.29
AUCHAN,16.04.2026 04:00,13.89
CORA,16.04.2026 04:00,14.49
SELGROS,16.04.2026 04:00,14.32
SUPECO,16.04.2026 04:00,11.29
AUCHAN,16.04.2026 20:00,13.89
CORA,16.04.2026 20:00,14.49
SELGROS,16.04.2026 20:00,14.32
SUPECO,16.04.2026 20:00,11.29
AUCHAN,17.04.2026 04:00,13.89
CORA,17.04.2026 04:00,14.49
SELGROS,17.04.2026 04:00,14.32
SUPECO,17.04.2026 04:00,11.29
