network,avg_price,min_price,max_price,stores
SUPECO,19.89,19.89,19.89,1
SELGROS,19.92,19.92,19.92,1
CORA,20.99,20.99,20.99,1
AUCHAN,21.79,21.79,21.79,2
KAUFLAND,22.39,22.39,22.39,9
MEGA IMAGE SRL,22.59,22.49,24.63,41
CARREFOUR,23.55,21.79,26.99,10

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,21.79
CARREFOUR,15.04.2026 04:00,22.73
CORA,15.04.2026 04:00,20.99
KAUFLAND,15.04.2026 04:00,22.39
MEGA IMAGE SRL,15.04.2026 04:00,22.99
SELGROS,15.04.2026 04:00,19.92
SUPECO,15.04.2026 04:00,19.89
AUCHAN,15.04.2026 20:00,21.58
CARREFOUR,15.04.2026 20:00,23.25
CORA,15.04.2026 20:00,20.99
KAUFLAND,15.04.2026 20:00,22.39
MEGA IMAGE SRL,15.04.2026 20:00,22.61
AUCHAN,16.04.2026 04:00,21.79
CARREFOUR,16.04.2026 04:00,23.55
CORA,16.04.2026 04:00,20.99
KAUFLAND,16.04.2026 04:00,22.39
MEGA IMAGE SRL,16.04.2026 04:00,22.59
SELGROS,16.04.2026 04:00,19.92
SUPECO,16.04.2026 04:00,19.89
