network,avg_price,min_price,max_price,stores
SELGROS,10.02,10.02,10.02,17
CORA,11.89,11.89,11.89,5
AUCHAN,12.19,10.99,12.69,7
PROFI,12.65,7.75,13.75,302
KAUFLAND,12.69,12.69,12.69,167
MEGA IMAGE SRL,12.99,12.99,12.99,116
CARREFOUR,13.34,12.49,14.49,163

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,12.99
KAUFLAND,13.04.2026 20:00,12.69
PROFI,13.04.2026 20:00,12.96
SELGROS,13.04.2026 20:00,10.02
AUCHAN,15.04.2026 04:00,12.69
CARREFOUR,15.04.2026 04:00,13.24
CORA,15.04.2026 04:00,11.89
KAUFLAND,15.04.2026 04:00,12.69
MEGA IMAGE SRL,15.04.2026 04:00,12.99
PROFI,15.04.2026 04:00,12.88
SELGROS,15.04.2026 04:00,10.02
AUCHAN,15.04.2026 20:00,12.19
CARREFOUR,15.04.2026 20:00,13.42
CORA,15.04.2026 20:00,11.89
KAUFLAND,15.04.2026 20:00,12.69
MEGA IMAGE SRL,15.04.2026 20:00,12.99
PROFI,15.04.2026 20:00,12.68
SELGROS,15.04.2026 20:00,10.02
AUCHAN,16.04.2026 04:00,12.69
CARREFOUR,16.04.2026 04:00,13.32
CORA,16.04.2026 04:00,11.89
KAUFLAND,16.04.2026 04:00,12.69
MEGA IMAGE SRL,16.04.2026 04:00,12.99
PROFI,16.04.2026 04:00,12.93
SELGROS,16.04.2026 04:00,10.02
AUCHAN,16.04.2026 20:00,12.69
CARREFOUR,16.04.2026 20:00,13.22
CORA,16.04.2026 20:00,11.89
KAUFLAND,16.04.2026 20:00,12.69
MEGA IMAGE SRL,16.04.2026 20:00,12.99
PROFI,16.04.2026 20:00,12.82
SELGROS,16.04.2026 20:00,10.02
AUCHAN,17.04.2026 04:00,12.19
CARREFOUR,17.04.2026 04:00,13.34
CORA,17.04.2026 04:00,11.89
KAUFLAND,17.04.2026 04:00,12.69
MEGA IMAGE SRL,17.04.2026 04:00,12.99
PROFI,17.04.2026 04:00,12.65
SELGROS,17.04.2026 04:00,10.02
