network,avg_price,min_price,max_price,stores
PROFI,4.68,3.29,15.15,91
PENNY,9.23,9.23,9.23,27
AUCHAN,14.01,11.59,16.19,27
SELGROS,15.13,15.13,15.13,12
CORA,16.49,16.49,16.49,5

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,13.89
CORA,15.04.2026 04:00,16.49
PENNY,15.04.2026 04:00,9.23
PROFI,15.04.2026 04:00,3.29
SELGROS,15.04.2026 04:00,15.13
AUCHAN,15.04.2026 20:00,14.25
CORA,15.04.2026 20:00,16.49
PENNY,15.04.2026 20:00,9.23
PROFI,15.04.2026 20:00,4.79
SELGROS,15.04.2026 20:00,15.13
AUCHAN,16.04.2026 04:00,13.89
CORA,16.04.2026 04:00,16.49
PROFI,16.04.2026 04:00,5.12
SELGROS,16.04.2026 04:00,15.13
AUCHAN,16.04.2026 20:00,14.35
CORA,16.04.2026 20:00,16.49
PROFI,16.04.2026 20:00,5.73
SELGROS,16.04.2026 20:00,15.13
AUCHAN,17.04.2026 04:00,14.01
CORA,17.04.2026 04:00,16.49
PENNY,17.04.2026 04:00,9.23
PROFI,17.04.2026 04:00,4.68
SELGROS,17.04.2026 04:00,15.13
