network,avg_price,min_price,max_price,stores
CORA,16.49,16.49,16.49,1
SELGROS,16.58,16.58,16.58,1
AUCHAN,16.69,16.69,16.69,1
SUPECO,16.89,16.89,16.89,1
KAUFLAND,17.39,17.39,17.39,9
MEGA IMAGE SRL,17.69,17.29,18.29,5
CARREFOUR,17.77,16.75,19.49,9
PROFI,18.99,18.99,18.99,11

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,16.69
CARREFOUR,15.04.2026 04:00,17.31
CORA,15.04.2026 04:00,16.49
KAUFLAND,15.04.2026 04:00,17.39
MEGA IMAGE SRL,15.04.2026 04:00,18.24
PROFI,15.04.2026 04:00,19.08
SELGROS,15.04.2026 04:00,16.58
SUPECO,15.04.2026 04:00,16.89
AUCHAN,15.04.2026 20:00,16.69
CARREFOUR,15.04.2026 20:00,17.75
CORA,15.04.2026 20:00,16.49
KAUFLAND,15.04.2026 20:00,17.39
MEGA IMAGE SRL,15.04.2026 20:00,17.69
PROFI,15.04.2026 20:00,19.04
AUCHAN,16.04.2026 04:00,16.69
CARREFOUR,16.04.2026 04:00,17.77
CORA,16.04.2026 04:00,16.49
KAUFLAND,16.04.2026 04:00,17.39
MEGA IMAGE SRL,16.04.2026 04:00,17.69
PROFI,16.04.2026 04:00,18.99
SELGROS,16.04.2026 04:00,16.58
SUPECO,16.04.2026 04:00,16.89
