network,avg_price,min_price,max_price,stores
SELGROS,4.25,4.25,4.25,17
CORA,6.49,6.49,6.49,5
AUCHAN,6.63,5.59,7.59,13
SUPECO,6.89,6.89,6.99,22
MEGA IMAGE SRL,7.19,7.19,7.51,178
PROFI,7.47,5.75,7.99,701
CARREFOUR,7.9,6.89,9.59,268

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,7.59
PROFI,13.04.2026 20:00,6.53
SELGROS,13.04.2026 20:00,4.25
AUCHAN,15.04.2026 04:00,7.15
CARREFOUR,15.04.2026 04:00,7.53
CORA,15.04.2026 04:00,6.49
MEGA IMAGE SRL,15.04.2026 04:00,7.19
PROFI,15.04.2026 04:00,6.99
SELGROS,15.04.2026 04:00,4.25
SUPECO,15.04.2026 04:00,6.89
AUCHAN,15.04.2026 20:00,6.55
CARREFOUR,15.04.2026 20:00,7.93
CORA,15.04.2026 20:00,6.49
MEGA IMAGE SRL,15.04.2026 20:00,7.19
PROFI,15.04.2026 20:00,7.48
SELGROS,15.04.2026 20:00,4.25
SUPECO,15.04.2026 20:00,6.89
AUCHAN,16.04.2026 04:00,7.15
CARREFOUR,16.04.2026 04:00,7.77
CORA,16.04.2026 04:00,6.49
MEGA IMAGE SRL,16.04.2026 04:00,7.19
PROFI,16.04.2026 04:00,7.52
SELGROS,16.04.2026 04:00,4.25
SUPECO,16.04.2026 04:00,6.89
AUCHAN,16.04.2026 20:00,7.15
CARREFOUR,16.04.2026 20:00,7.71
CORA,16.04.2026 20:00,6.49
MEGA IMAGE SRL,16.04.2026 20:00,7.19
PROFI,16.04.2026 20:00,7.48
SELGROS,16.04.2026 20:00,4.25
SUPECO,16.04.2026 20:00,6.89
AUCHAN,17.04.2026 04:00,6.63
CARREFOUR,17.04.2026 04:00,7.9
CORA,17.04.2026 04:00,6.49
MEGA IMAGE SRL,17.04.2026 04:00,7.19
PROFI,17.04.2026 04:00,7.47
SELGROS,17.04.2026 04:00,4.25
SUPECO,17.04.2026 04:00,6.89
