network,avg_price,min_price,max_price,stores
CORA,12.91,12.59,12.99,5
AUCHAN,13.49,13.49,13.49,16
SUPECO,13.49,13.49,13.49,21
KAUFLAND,14.49,14.49,14.49,164
CARREFOUR,14.57,13.99,15.99,54
SELGROS,17.89,17.89,17.89,17

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,13.99
KAUFLAND,13.04.2026 20:00,14.49
SELGROS,13.04.2026 20:00,17.89
AUCHAN,15.04.2026 04:00,13.49
CARREFOUR,15.04.2026 04:00,14.05
CORA,15.04.2026 04:00,12.99
KAUFLAND,15.04.2026 04:00,14.49
SELGROS,15.04.2026 04:00,17.89
SUPECO,15.04.2026 04:00,13.49
AUCHAN,15.04.2026 20:00,13.49
CARREFOUR,15.04.2026 20:00,14.62
CORA,15.04.2026 20:00,12.92
KAUFLAND,15.04.2026 20:00,14.49
SELGROS,15.04.2026 20:00,17.89
SUPECO,15.04.2026 20:00,13.49
AUCHAN,16.04.2026 04:00,13.49
CARREFOUR,16.04.2026 04:00,14.08
CORA,16.04.2026 04:00,12.99
KAUFLAND,16.04.2026 04:00,14.49
SELGROS,16.04.2026 04:00,17.89
SUPECO,16.04.2026 04:00,13.49
AUCHAN,16.04.2026 20:00,13.49
CARREFOUR,16.04.2026 20:00,14.35
CORA,16.04.2026 20:00,12.99
KAUFLAND,16.04.2026 20:00,14.49
SELGROS,16.04.2026 20:00,17.89
SUPECO,16.04.2026 20:00,13.49
AUCHAN,17.04.2026 04:00,13.49
CARREFOUR,17.04.2026 04:00,14.57
CORA,17.04.2026 04:00,12.91
KAUFLAND,17.04.2026 04:00,14.49
SELGROS,17.04.2026 04:00,17.89
SUPECO,17.04.2026 04:00,13.49
