network,avg_price,min_price,max_price,stores
SELGROS,8.71,8.71,8.71,1
CORA,10.8,10.8,10.8,1
PROFI,11.27,11.19,11.55,13
CARREFOUR,11.39,10.9,11.99,10

network,price_date,avg_price
CARREFOUR,15.04.2026 04:00,11.15
CORA,15.04.2026 04:00,10.8
PROFI,15.04.2026 04:00,11.2
SELGROS,15.04.2026 04:00,8.71
AUCHAN,15.04.2026 20:00,12.09
CARREFOUR,15.04.2026 20:00,11.3
CORA,15.04.2026 20:00,10.8
PROFI,15.04.2026 20:00,11.17
CARREFOUR,16.04.2026 04:00,11.39
CORA,16.04.2026 04:00,10.8
PROFI,16.04.2026 04:00,11.27
SELGROS,16.04.2026 04:00,8.71
