network,avg_price,min_price,max_price,stores
CORA,17.09,17.09,17.09,1
AUCHAN,18.69,18.69,18.69,2
SELGROS,18.89,18.89,18.89,1
KAUFLAND,18.99,18.99,18.99,7
PROFI,19.99,19.99,19.99,3
CARREFOUR,20.49,19.99,20.99,4

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,18.69
CARREFOUR,15.04.2026 04:00,20.27
CORA,15.04.2026 04:00,17.09
KAUFLAND,15.04.2026 04:00,18.99
PROFI,15.04.2026 04:00,19.99
SELGROS,15.04.2026 04:00,18.89
AUCHAN,15.04.2026 20:00,18.69
CARREFOUR,15.04.2026 20:00,20.28
CORA,15.04.2026 20:00,17.09
KAUFLAND,15.04.2026 20:00,18.99
PROFI,15.04.2026 20:00,19.84
AUCHAN,16.04.2026 04:00,18.69
CARREFOUR,16.04.2026 04:00,20.49
CORA,16.04.2026 04:00,17.09
KAUFLAND,16.04.2026 04:00,18.99
PROFI,16.04.2026 04:00,19.99
SELGROS,16.04.2026 04:00,18.89
