network,avg_price,min_price,max_price,stores
PROFI,8.9,5.25,11.99,25
AUCHAN,10.5,9.99,13.79,20
CARREFOUR,12.86,11.49,14.49,168
CORA,13.79,13.39,13.89,5

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,11.49
AUCHAN,15.04.2026 04:00,9.99
CARREFOUR,15.04.2026 04:00,12.45
CORA,15.04.2026 04:00,13.89
AUCHAN,15.04.2026 20:00,10.48
CARREFOUR,15.04.2026 20:00,12.9
CORA,15.04.2026 20:00,13.81
PROFI,15.04.2026 20:00,8.53
AUCHAN,16.04.2026 04:00,9.99
CARREFOUR,16.04.2026 04:00,13.05
CORA,16.04.2026 04:00,13.89
AUCHAN,16.04.2026 20:00,9.99
CARREFOUR,16.04.2026 20:00,12.83
CORA,16.04.2026 20:00,13.89
AUCHAN,17.04.2026 04:00,10.5
CARREFOUR,17.04.2026 04:00,12.86
CORA,17.04.2026 04:00,13.79
PROFI,17.04.2026 04:00,8.9
