network,avg_price,min_price,max_price,stores
SELGROS,6.2,6.2,6.2,1
CARREFOUR,7.99,7.99,7.99,2
MEGA IMAGE SRL,7.99,7.99,7.99,21
PROFI,7.99,7.99,7.99,6
KAUFLAND,8.49,8.49,8.49,4

network,price_date,avg_price
CARREFOUR,15.04.2026 04:00,7.99
KAUFLAND,15.04.2026 04:00,8.49
MEGA IMAGE SRL,15.04.2026 04:00,7.99
PROFI,15.04.2026 04:00,7.99
SELGROS,15.04.2026 04:00,6.2
AUCHAN,15.04.2026 20:00,7.99
CARREFOUR,15.04.2026 20:00,7.99
KAUFLAND,15.04.2026 20:00,8.49
MEGA IMAGE SRL,15.04.2026 20:00,7.99
PROFI,15.04.2026 20:00,7.91
CARREFOUR,16.04.2026 04:00,7.99
KAUFLAND,16.04.2026 04:00,8.49
MEGA IMAGE SRL,16.04.2026 04:00,7.99
PROFI,16.04.2026 04:00,7.99
SELGROS,16.04.2026 04:00,6.2
