network,avg_price,min_price,max_price,stores
PROFI,6.89,2.69,8.99,3
CARREFOUR,21.79,21.79,21.79,2
CORA,22.39,22.39,22.39,1
MEGA IMAGE SRL,22.59,22.59,22.59,1

network,price_date,avg_price
CARREFOUR,15.04.2026 04:00,21.79
CORA,15.04.2026 04:00,22.39
MEGA IMAGE SRL,15.04.2026 04:00,22.59
PROFI,15.04.2026 04:00,7.42
CARREFOUR,15.04.2026 20:00,21.79
CORA,15.04.2026 20:00,22.39
MEGA IMAGE SRL,15.04.2026 20:00,22.59
PROFI,15.04.2026 20:00,7.42
CARREFOUR,16.04.2026 04:00,21.79
CORA,16.04.2026 04:00,22.39
MEGA IMAGE SRL,16.04.2026 04:00,22.59
PROFI,16.04.2026 04:00,6.89
