network,avg_price,min_price,max_price,stores
CORA,8.89,8.89,8.89,1
CARREFOUR,9.99,9.99,9.99,2
SELGROS,10.33,10.33,10.33,1
KAUFLAND,11.69,11.69,11.69,4
PROFI,11.84,11.69,12.15,12

network,price_date,avg_price
CARREFOUR,15.04.2026 04:00,9.99
CORA,15.04.2026 04:00,8.89
KAUFLAND,15.04.2026 04:00,11.69
PROFI,15.04.2026 04:00,11.9
SELGROS,15.04.2026 04:00,10.33
CARREFOUR,15.04.2026 20:00,10.66
CORA,15.04.2026 20:00,8.89
KAUFLAND,15.04.2026 20:00,11.69
PROFI,15.04.2026 20:00,11.78
CARREFOUR,16.04.2026 04:00,9.99
CORA,16.04.2026 04:00,8.89
KAUFLAND,16.04.2026 04:00,11.69
PROFI,16.04.2026 04:00,11.84
SELGROS,16.04.2026 04:00,10.33
