network,avg_price,min_price,max_price,stores
CORA,2.87,2.79,2.89,5
SUPECO,3.19,3.19,3.19,22
MEGA IMAGE SRL,3.65,3.65,3.99,77
AUCHAN,3.76,3.19,3.89,16
PROFI,4.05,3.79,4.25,843
CARREFOUR,4.12,3.29,4.79,262
SELGROS,4.88,4.88,4.88,17

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,4.19
PROFI,13.04.2026 20:00,3.96
SELGROS,13.04.2026 20:00,4.88
AUCHAN,15.04.2026 04:00,3.89
CARREFOUR,15.04.2026 04:00,4.02
CORA,15.04.2026 04:00,2.89
MEGA IMAGE SRL,15.04.2026 04:00,3.65
PROFI,15.04.2026 04:00,4.11
SELGROS,15.04.2026 04:00,4.88
AUCHAN,15.04.2026 20:00,3.78
CARREFOUR,15.04.2026 20:00,4.14
CORA,15.04.2026 20:00,2.87
MEGA IMAGE SRL,15.04.2026 20:00,3.66
PROFI,15.04.2026 20:00,4.06
SELGROS,15.04.2026 20:00,4.88
SUPECO,15.04.2026 20:00,3.19
AUCHAN,16.04.2026 04:00,3.89
CARREFOUR,16.04.2026 04:00,3.98
CORA,16.04.2026 04:00,2.89
MEGA IMAGE SRL,16.04.2026 04:00,3.65
PROFI,16.04.2026 04:00,4.07
SELGROS,16.04.2026 04:00,4.88
AUCHAN,16.04.2026 20:00,3.89
CARREFOUR,16.04.2026 20:00,4.08
CORA,16.04.2026 20:00,2.89
MEGA IMAGE SRL,16.04.2026 20:00,3.66
PROFI,16.04.2026 20:00,4.02
SELGROS,16.04.2026 20:00,4.88
AUCHAN,17.04.2026 04:00,3.76
CARREFOUR,17.04.2026 04:00,4.12
CORA,17.04.2026 04:00,2.87
MEGA IMAGE SRL,17.04.2026 04:00,3.65
PROFI,17.04.2026 04:00,4.05
SELGROS,17.04.2026 04:00,4.88
SUPECO,17.04.2026 04:00,3.19
