network,avg_price,min_price,max_price,stores
CORA,40.19,40.19,40.19,5
AUCHAN,42.08,39.69,43.19,22
SUPECO,43.99,43.99,43.99,22
MEGA IMAGE SRL,45.82,44.99,51.01,260
KAUFLAND,45.99,45.99,45.99,167
PROFI,46.53,24.63,49.99,509
CARREFOUR,48.11,44.55,58.49,260
SELGROS,50.7,50.7,50.7,15

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,48.52
KAUFLAND,13.04.2026 20:00,45.99
PROFI,13.04.2026 20:00,46.07
SELGROS,13.04.2026 20:00,50.7
CARREFOUR,15.04.2026 04:00,47.28
CORA,15.04.2026 04:00,40.19
KAUFLAND,15.04.2026 04:00,45.99
MEGA IMAGE SRL,15.04.2026 04:00,45.67
PROFI,15.04.2026 04:00,46.66
SELGROS,15.04.2026 04:00,50.7
AUCHAN,15.04.2026 20:00,42.02
CARREFOUR,15.04.2026 20:00,48.16
CORA,15.04.2026 20:00,40.19
KAUFLAND,15.04.2026 20:00,45.99
MEGA IMAGE SRL,15.04.2026 20:00,45.42
PROFI,15.04.2026 20:00,46.25
SELGROS,15.04.2026 20:00,50.7
SUPECO,15.04.2026 20:00,43.99
CARREFOUR,16.04.2026 04:00,47.08
CORA,16.04.2026 04:00,40.19
KAUFLAND,16.04.2026 04:00,45.99
MEGA IMAGE SRL,16.04.2026 04:00,44.99
PROFI,16.04.2026 04:00,46.85
SELGROS,16.04.2026 04:00,50.7
AUCHAN,16.04.2026 20:00,43.19
CARREFOUR,16.04.2026 20:00,47.22
CORA,16.04.2026 20:00,40.19
KAUFLAND,16.04.2026 20:00,45.99
MEGA IMAGE SRL,16.04.2026 20:00,45.3
PROFI,16.04.2026 20:00,46.69
SELGROS,16.04.2026 20:00,50.7
AUCHAN,17.04.2026 04:00,42.08
CARREFOUR,17.04.2026 04:00,48.11
CORA,17.04.2026 04:00,40.19
KAUFLAND,17.04.2026 04:00,45.99
MEGA IMAGE SRL,17.04.2026 04:00,45.82
PROFI,17.04.2026 04:00,46.53
SELGROS,17.04.2026 04:00,50.7
SUPECO,17.04.2026 04:00,43.99
