network,avg_price,min_price,max_price,stores
AUCHAN,4.99,4.99,4.99,13
CORA,6.49,6.49,6.49,5
CARREFOUR,7.19,7.19,7.35,38
PROFI,7.31,6.75,7.49,53

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,7.19
PROFI,13.04.2026 20:00,5.99
AUCHAN,15.04.2026 04:00,4.99
CARREFOUR,15.04.2026 04:00,7.23
CORA,15.04.2026 04:00,6.49
AUCHAN,15.04.2026 20:00,4.99
CARREFOUR,15.04.2026 20:00,7.22
CORA,15.04.2026 20:00,6.49
PROFI,15.04.2026 20:00,7.35
AUCHAN,16.04.2026 04:00,4.99
CARREFOUR,16.04.2026 04:00,7.19
CORA,16.04.2026 04:00,6.49
AUCHAN,16.04.2026 20:00,4.99
CARREFOUR,16.04.2026 20:00,7.32
CORA,16.04.2026 20:00,6.49
PROFI,16.04.2026 20:00,7.36
AUCHAN,17.04.2026 04:00,4.99
CARREFOUR,17.04.2026 04:00,7.19
CORA,17.04.2026 04:00,6.49
PROFI,17.04.2026 04:00,7.31
