network,avg_price,min_price,max_price,stores
CORA,0.99,0.99,0.99,1
KAUFLAND,0.99,0.99,0.99,4
AUCHAN,1.0,1.0,1.0,2
MEGA IMAGE SRL,1.09,1.09,1.09,21
CARREFOUR,1.21,1.09,1.29,8
SELGROS,1.33,1.33,1.33,1
PROFI,1.39,1.35,1.49,13

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,1.0
CARREFOUR,15.04.2026 04:00,1.21
CORA,15.04.2026 04:00,0.99
KAUFLAND,15.04.2026 04:00,0.99
MEGA IMAGE SRL,15.04.2026 04:00,1.09
PENNY,15.04.2026 04:00,0.99
PROFI,15.04.2026 04:00,1.41
SELGROS,15.04.2026 04:00,1.33
AUCHAN,15.04.2026 20:00,1.01
CARREFOUR,15.04.2026 20:00,1.21
CORA,15.04.2026 20:00,0.99
KAUFLAND,15.04.2026 20:00,0.99
MEGA IMAGE SRL,15.04.2026 20:00,1.09
PROFI,15.04.2026 20:00,1.38
AUCHAN,16.04.2026 04:00,1.0
CARREFOUR,16.04.2026 04:00,1.21
CORA,16.04.2026 04:00,0.99
KAUFLAND,16.04.2026 04:00,0.99
MEGA IMAGE SRL,16.04.2026 04:00,1.09
PROFI,16.04.2026 04:00,1.39
SELGROS,16.04.2026 04:00,1.33
