network,avg_price,min_price,max_price,stores
CORA,19.99,19.99,19.99,1
CARREFOUR,20.85,20.85,20.85,2
MEGA IMAGE SRL,21.39,21.39,21.39,1

network,price_date,avg_price
CARREFOUR,15.04.2026 04:00,20.85
CORA,15.04.2026 04:00,19.99
MEGA IMAGE SRL,15.04.2026 04:00,21.39
CARREFOUR,15.04.2026 20:00,20.85
CORA,15.04.2026 20:00,19.99
MEGA IMAGE SRL,15.04.2026 20:00,21.39
PROFI,15.04.2026 20:00,8.99
CARREFOUR,16.04.2026 04:00,20.85
CORA,16.04.2026 04:00,19.99
MEGA IMAGE SRL,16.04.2026 04:00,21.39
