network,avg_price,min_price,max_price,stores
PROFI,24.19,16.9,28.35,16
AUCHAN,26.89,24.99,41.99,12
CORA,32.41,32.09,32.49,5
CARREFOUR,37.89,31.59,44.49,175

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,31.59
PROFI,13.04.2026 20:00,25.09
AUCHAN,15.04.2026 04:00,24.99
CARREFOUR,15.04.2026 04:00,35.41
CORA,15.04.2026 04:00,32.49
AUCHAN,15.04.2026 20:00,26.74
CARREFOUR,15.04.2026 20:00,37.81
CORA,15.04.2026 20:00,32.42
PROFI,15.04.2026 20:00,23.2
AUCHAN,16.04.2026 04:00,24.99
CARREFOUR,16.04.2026 04:00,36.23
CORA,16.04.2026 04:00,32.49
AUCHAN,16.04.2026 20:00,24.99
CARREFOUR,16.04.2026 20:00,37.11
CORA,16.04.2026 20:00,32.49
AUCHAN,17.04.2026 04:00,26.89
CARREFOUR,17.04.2026 04:00,37.89
CORA,17.04.2026 04:00,32.41
PROFI,17.04.2026 04:00,24.19
