network,avg_price,min_price,max_price,stores
PROFI,5.85,5.85,5.85,1
CORA,5.87,5.79,5.89,5
AUCHAN,6.06,6.06,6.06,4
KAUFLAND,6.7,6.7,6.7,167
SELGROS,6.9,6.9,6.9,17
CARREFOUR,6.94,5.89,7.89,182

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,7.11
KAUFLAND,13.04.2026 20:00,6.7
SELGROS,13.04.2026 20:00,6.9
CARREFOUR,15.04.2026 04:00,6.99
CORA,15.04.2026 04:00,5.89
KAUFLAND,15.04.2026 04:00,6.7
SELGROS,15.04.2026 04:00,6.9
AUCHAN,15.04.2026 20:00,6.06
CARREFOUR,15.04.2026 20:00,6.96
CORA,15.04.2026 20:00,5.87
KAUFLAND,15.04.2026 20:00,6.7
SELGROS,15.04.2026 20:00,6.9
CARREFOUR,16.04.2026 04:00,6.95
CORA,16.04.2026 04:00,5.89
KAUFLAND,16.04.2026 04:00,6.7
SELGROS,16.04.2026 04:00,6.9
AUCHAN,16.04.2026 20:00,6.06
CARREFOUR,16.04.2026 20:00,6.93
CORA,16.04.2026 20:00,5.89
KAUFLAND,16.04.2026 20:00,6.7
SELGROS,16.04.2026 20:00,6.9
AUCHAN,17.04.2026 04:00,6.06
CARREFOUR,17.04.2026 04:00,6.94
CORA,17.04.2026 04:00,5.87
KAUFLAND,17.04.2026 04:00,6.7
PROFI,17.04.2026 04:00,5.85
SELGROS,17.04.2026 04:00,6.9
