network,avg_price,min_price,max_price,stores
KAUFLAND,2.09,2.09,2.09,165
SUPECO,2.29,2.29,2.29,7
MEGA IMAGE SRL,2.39,2.39,2.39,278
PROFI,2.39,2.39,2.39,525

network,price_date,avg_price
KAUFLAND,13.04.2026 20:00,2.09
PROFI,13.04.2026 20:00,2.39
AUCHAN,15.04.2026 04:00,2.09
KAUFLAND,15.04.2026 04:00,2.09
MEGA IMAGE SRL,15.04.2026 04:00,2.39
PROFI,15.04.2026 04:00,2.39
KAUFLAND,15.04.2026 20:00,2.09
MEGA IMAGE SRL,15.04.2026 20:00,2.39
PROFI,15.04.2026 20:00,2.39
SUPECO,15.04.2026 20:00,2.29
KAUFLAND,16.04.2026 04:00,2.09
MEGA IMAGE SRL,16.04.2026 04:00,2.39
PROFI,16.04.2026 04:00,2.39
KAUFLAND,16.04.2026 20:00,2.09
MEGA IMAGE SRL,16.04.2026 20:00,2.39
PROFI,16.04.2026 20:00,2.39
KAUFLAND,17.04.2026 04:00,2.09
MEGA IMAGE SRL,17.04.2026 04:00,2.39
PROFI,17.04.2026 04:00,2.39
SUPECO,17.04.2026 04:00,2.29
