network,avg_price,min_price,max_price,stores
CORA,19.89,19.89,19.89,5
AUCHAN,20.25,19.59,20.49,21
CARREFOUR,21.0,20.99,21.39,38
MEGA IMAGE SRL,21.01,20.99,22.79,117

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,20.99
AUCHAN,15.04.2026 04:00,20.49
CARREFOUR,15.04.2026 04:00,21.09
CORA,15.04.2026 04:00,19.89
MEGA IMAGE SRL,15.04.2026 04:00,20.99
AUCHAN,15.04.2026 20:00,20.23
CARREFOUR,15.04.2026 20:00,21.02
CORA,15.04.2026 20:00,19.89
MEGA IMAGE SRL,15.04.2026 20:00,21.0
AUCHAN,16.04.2026 04:00,20.49
CARREFOUR,16.04.2026 04:00,20.99
CORA,16.04.2026 04:00,19.89
MEGA IMAGE SRL,16.04.2026 04:00,20.99
AUCHAN,16.04.2026 20:00,20.49
CARREFOUR,16.04.2026 20:00,21.12
CORA,16.04.2026 20:00,19.89
MEGA IMAGE SRL,16.04.2026 20:00,20.99
AUCHAN,17.04.2026 04:00,20.25
CARREFOUR,17.04.2026 04:00,21.0
CORA,17.04.2026 04:00,19.89
MEGA IMAGE SRL,17.04.2026 04:00,21.01
