network,avg_price,min_price,max_price,stores
SUPECO,3.09,2.99,3.79,21
CORA,3.77,3.69,3.79,5
SELGROS,3.85,3.85,3.85,16
AUCHAN,3.95,3.79,4.39,15
MEGA IMAGE SRL,4.17,3.99,4.49,279
KAUFLAND,4.29,4.29,4.29,167
CARREFOUR,4.55,3.79,5.09,251
PROFI,4.98,4.79,5.29,840

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,4.74
KAUFLAND,13.04.2026 20:00,4.29
PROFI,13.04.2026 20:00,4.93
SELGROS,13.04.2026 20:00,3.85
AUCHAN,15.04.2026 04:00,3.85
CARREFOUR,15.04.2026 04:00,4.53
CORA,15.04.2026 04:00,3.79
KAUFLAND,15.04.2026 04:00,4.29
MEGA IMAGE SRL,15.04.2026 04:00,4.08
PROFI,15.04.2026 04:00,5.07
SELGROS,15.04.2026 04:00,3.85
SUPECO,15.04.2026 04:00,2.99
AUCHAN,15.04.2026 20:00,3.88
CARREFOUR,15.04.2026 20:00,4.58
CORA,15.04.2026 20:00,3.77
KAUFLAND,15.04.2026 20:00,4.29
MEGA IMAGE SRL,15.04.2026 20:00,4.1
PROFI,15.04.2026 20:00,4.99
SELGROS,15.04.2026 20:00,3.85
SUPECO,15.04.2026 20:00,3.12
AUCHAN,16.04.2026 04:00,3.85
CARREFOUR,16.04.2026 04:00,4.51
CORA,16.04.2026 04:00,3.79
KAUFLAND,16.04.2026 04:00,4.29
MEGA IMAGE SRL,16.04.2026 04:00,3.99
PROFI,16.04.2026 04:00,5.01
SELGROS,16.04.2026 04:00,3.85
AUCHAN,16.04.2026 20:00,3.85
CARREFOUR,16.04.2026 20:00,4.5
CORA,16.04.2026 20:00,3.79
KAUFLAND,16.04.2026 20:00,4.29
MEGA IMAGE SRL,16.04.2026 20:00,4.05
PROFI,16.04.2026 20:00,4.93
SELGROS,16.04.2026 20:00,3.85
AUCHAN,17.04.2026 04:00,3.95
CARREFOUR,17.04.2026 04:00,4.55
CORA,17.04.2026 04:00,3.77
KAUFLAND,17.04.2026 04:00,4.29
MEGA IMAGE SRL,17.04.2026 04:00,4.17
PROFI,17.04.2026 04:00,4.98
SELGROS,17.04.2026 04:00,3.85
SUPECO,17.04.2026 04:00,3.09
