network,avg_price,min_price,max_price,stores
CARREFOUR,3.29,3.29,3.29,2
CORA,3.29,3.29,3.29,1
KAUFLAND,3.55,3.55,3.55,4
SELGROS,3.59,3.59,3.59,1
PROFI,3.99,3.99,3.99,6

network,price_date,avg_price
CARREFOUR,15.04.2026 04:00,3.29
CORA,15.04.2026 04:00,3.29
KAUFLAND,15.04.2026 04:00,3.55
PROFI,15.04.2026 04:00,3.99
SELGROS,15.04.2026 04:00,3.59
AUCHAN,15.04.2026 20:00,3.49
CARREFOUR,15.04.2026 20:00,3.29
CORA,15.04.2026 20:00,3.29
KAUFLAND,15.04.2026 20:00,3.55
PROFI,15.04.2026 20:00,3.99
CARREFOUR,16.04.2026 04:00,3.29
CORA,16.04.2026 04:00,3.29
KAUFLAND,16.04.2026 04:00,3.55
PROFI,16.04.2026 04:00,3.99
SELGROS,16.04.2026 04:00,3.59
