network,avg_price,min_price,max_price,stores
PROFI,4.5,4.5,4.5,8
CARREFOUR,9.16,3.8,9.19,187
CORA,9.99,9.99,9.99,5
MEGA IMAGE SRL,10.59,10.59,10.59,177
AUCHAN,10.99,10.99,10.99,1
KAUFLAND,10.99,10.99,10.99,164
SELGROS,11.29,11.29,11.29,16

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,9.19
KAUFLAND,13.04.2026 20:00,10.99
SELGROS,13.04.2026 20:00,11.29
CARREFOUR,15.04.2026 04:00,9.19
CORA,15.04.2026 04:00,9.99
KAUFLAND,15.04.2026 04:00,10.99
MEGA IMAGE SRL,15.04.2026 04:00,10.59
SELGROS,15.04.2026 04:00,11.29
AUCHAN,15.04.2026 20:00,10.09
CARREFOUR,15.04.2026 20:00,9.15
CORA,15.04.2026 20:00,9.99
KAUFLAND,15.04.2026 20:00,10.99
MEGA IMAGE SRL,15.04.2026 20:00,10.6
PROFI,15.04.2026 20:00,5.25
SELGROS,15.04.2026 20:00,11.29
CARREFOUR,16.04.2026 04:00,9.19
CORA,16.04.2026 04:00,9.99
KAUFLAND,16.04.2026 04:00,10.99
MEGA IMAGE SRL,16.04.2026 04:00,10.59
SELGROS,16.04.2026 04:00,11.29
CARREFOUR,16.04.2026 20:00,9.19
CORA,16.04.2026 20:00,9.99
KAUFLAND,16.04.2026 20:00,10.99
MEGA IMAGE SRL,16.04.2026 20:00,10.59
PROFI,16.04.2026 20:00,7.5
SELGROS,16.04.2026 20:00,11.29
AUCHAN,17.04.2026 04:00,10.99
CARREFOUR,17.04.2026 04:00,9.16
CORA,17.04.2026 04:00,9.99
KAUFLAND,17.04.2026 04:00,10.99
MEGA IMAGE SRL,17.04.2026 04:00,10.59
PROFI,17.04.2026 04:00,4.5
SELGROS,17.04.2026 04:00,11.29
