network,avg_price,min_price,max_price,stores
MEGA IMAGE SRL,12.79,12.79,12.79,10
AUCHAN,18.49,18.49,18.49,27
SELGROS,19.86,19.86,19.86,16

network,price_date,avg_price
SELGROS,13.04.2026 20:00,19.86
AUCHAN,15.04.2026 04:00,18.49
MEGA IMAGE SRL,15.04.2026 04:00,12.79
SELGROS,15.04.2026 04:00,19.86
AUCHAN,15.04.2026 20:00,18.49
MEGA IMAGE SRL,15.04.2026 20:00,12.79
SELGROS,15.04.2026 20:00,19.86
AUCHAN,16.04.2026 04:00,18.49
MEGA IMAGE SRL,16.04.2026 04:00,12.79
SELGROS,16.04.2026 04:00,19.86
AUCHAN,16.04.2026 20:00,18.49
MEGA IMAGE SRL,16.04.2026 20:00,12.79
SELGROS,16.04.2026 20:00,19.86
AUCHAN,17.04.2026 04:00,18.49
MEGA IMAGE SRL,17.04.2026 04:00,12.79
SELGROS,17.04.2026 04:00,19.86
