network,avg_price,min_price,max_price,stores
AUCHAN,13.99,13.99,13.99,1
CARREFOUR,14.49,14.49,14.49,2
CORA,14.49,14.49,14.49,1
KAUFLAND,14.99,14.99,14.99,4
SELGROS,15.02,15.02,15.02,1
PROFI,15.29,15.29,15.29,7

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,13.99
CARREFOUR,15.04.2026 04:00,14.56
CORA,15.04.2026 04:00,14.49
KAUFLAND,15.04.2026 04:00,14.99
MEGA IMAGE SRL,15.04.2026 04:00,15.39
PROFI,15.04.2026 04:00,15.33
SELGROS,15.04.2026 04:00,15.02
AUCHAN,15.04.2026 20:00,13.99
CARREFOUR,15.04.2026 20:00,14.49
CORA,15.04.2026 20:00,14.49
KAUFLAND,15.04.2026 20:00,14.99
MEGA IMAGE SRL,15.04.2026 20:00,15.39
PROFI,15.04.2026 20:00,15.3
SELGROS,15.04.2026 20:00,15.02
AUCHAN,16.04.2026 04:00,13.99
CARREFOUR,16.04.2026 04:00,14.49
CORA,16.04.2026 04:00,14.49
KAUFLAND,16.04.2026 04:00,14.99
PROFI,16.04.2026 04:00,15.29
SELGROS,16.04.2026 04:00,15.02
