network,avg_price,min_price,max_price,stores
SELGROS,2.29,2.29,2.29,17
AUCHAN,2.48,2.48,2.48,2
KAUFLAND,3.04,3.04,3.04,167

network,price_date,avg_price
KAUFLAND,13.04.2026 20:00,3.04
SELGROS,13.04.2026 20:00,2.29
KAUFLAND,15.04.2026 04:00,3.04
SELGROS,15.04.2026 04:00,2.29
AUCHAN,15.04.2026 20:00,2.48
KAUFLAND,15.04.2026 20:00,3.04
SELGROS,15.04.2026 20:00,2.29
KAUFLAND,16.04.2026 04:00,3.04
SELGROS,16.04.2026 04:00,2.29
KAUFLAND,16.04.2026 20:00,3.04
SELGROS,16.04.2026 20:00,2.29
AUCHAN,17.04.2026 04:00,2.48
KAUFLAND,17.04.2026 04:00,3.04
SELGROS,17.04.2026 04:00,2.29
