network,avg_price,min_price,max_price,stores
SELGROS,11.31,11.31,11.31,1
CORA,13.69,13.69,13.69,1
KAUFLAND,14.99,14.99,14.99,4
CARREFOUR,15.16,14.49,15.49,6

network,price_date,avg_price
CARREFOUR,15.04.2026 04:00,15.13
CORA,15.04.2026 04:00,13.69
KAUFLAND,15.04.2026 04:00,14.99
SELGROS,15.04.2026 04:00,11.31
AUCHAN,15.04.2026 20:00,13.69
CARREFOUR,15.04.2026 20:00,15.47
CORA,15.04.2026 20:00,13.69
KAUFLAND,15.04.2026 20:00,14.99
SELGROS,15.04.2026 20:00,11.31
CARREFOUR,16.04.2026 04:00,15.16
CORA,16.04.2026 04:00,13.69
KAUFLAND,16.04.2026 04:00,14.99
SELGROS,16.04.2026 04:00,11.31
