network,avg_price,min_price,max_price,stores
PROFI,9.0,5.15,10.29,4
CORA,11.99,11.99,11.99,5
CARREFOUR,12.29,12.29,12.29,38
AUCHAN,12.29,12.29,12.29,5
SELGROS,17.67,17.67,17.67,17

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,12.29
SELGROS,13.04.2026 20:00,17.67
CARREFOUR,15.04.2026 04:00,12.29
CORA,15.04.2026 04:00,11.99
SELGROS,15.04.2026 04:00,17.67
AUCHAN,15.04.2026 20:00,12.29
CARREFOUR,15.04.2026 20:00,12.31
CORA,15.04.2026 20:00,11.99
PROFI,15.04.2026 20:00,7.72
SELGROS,15.04.2026 20:00,17.67
CARREFOUR,16.04.2026 04:00,12.29
CORA,16.04.2026 04:00,11.99
SELGROS,16.04.2026 04:00,17.67
CARREFOUR,16.04.2026 20:00,12.39
CORA,16.04.2026 20:00,11.99
SELGROS,16.04.2026 20:00,17.67
AUCHAN,17.04.2026 04:00,12.29
CARREFOUR,17.04.2026 04:00,12.29
CORA,17.04.2026 04:00,11.99
PROFI,17.04.2026 04:00,9.0
SELGROS,17.04.2026 04:00,17.67
