network,avg_price,min_price,max_price,stores
CARREFOUR,64.59,54.69,89.49,7
SELGROS,65.99,65.99,65.99,1
CORA,69.99,69.99,69.99,1
PROFI,80.24,79.99,81.99,8

network,price_date,avg_price
CARREFOUR,15.04.2026 04:00,62.39
CORA,15.04.2026 04:00,69.99
PROFI,15.04.2026 04:00,80.1
SELGROS,15.04.2026 04:00,65.99
CARREFOUR,15.04.2026 20:00,67.87
CORA,15.04.2026 20:00,69.99
PROFI,15.04.2026 20:00,80.23
SELGROS,15.04.2026 20:00,65.99
CARREFOUR,16.04.2026 04:00,64.59
CORA,16.04.2026 04:00,69.99
PROFI,16.04.2026 04:00,80.24
SELGROS,16.04.2026 04:00,65.99
