network,avg_price,min_price,max_price,stores
SELGROS,20.3,20.3,20.3,2
AUCHAN,29.07,28.49,31.19,11
CARREFOUR,31.21,30.49,32.35,100
MEGA IMAGE SRL,31.85,21.25,32.99,289
PROFI,32.42,11.61,34.99,424

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,30.49
PROFI,13.04.2026 20:00,32.17
CARREFOUR,15.04.2026 04:00,30.64
MEGA IMAGE SRL,15.04.2026 04:00,31.77
PROFI,15.04.2026 04:00,24.79
AUCHAN,15.04.2026 20:00,28.83
CARREFOUR,15.04.2026 20:00,31.23
MEGA IMAGE SRL,15.04.2026 20:00,31.68
PROFI,15.04.2026 20:00,31.55
SELGROS,15.04.2026 20:00,20.3
CARREFOUR,16.04.2026 04:00,30.49
MEGA IMAGE SRL,16.04.2026 04:00,31.29
PROFI,16.04.2026 04:00,24.79
AUCHAN,16.04.2026 20:00,28.49
CARREFOUR,16.04.2026 20:00,31.7
MEGA IMAGE SRL,16.04.2026 20:00,31.57
PROFI,16.04.2026 20:00,26.69
AUCHAN,17.04.2026 04:00,29.07
CARREFOUR,17.04.2026 04:00,31.21
MEGA IMAGE SRL,17.04.2026 04:00,31.85
PROFI,17.04.2026 04:00,32.42
SELGROS,17.04.2026 04:00,20.3
