network,avg_price,min_price,max_price,stores
AUCHAN,8.51,7.99,8.79,17
CARREFOUR,8.79,8.79,8.79,38
MEGA IMAGE SRL,9.69,9.69,9.69,222
SELGROS,10.55,10.55,10.55,15
CORA,10.61,9.89,10.79,5
PROFI,11.14,9.99,11.75,518

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,8.79
PROFI,13.04.2026 20:00,10.89
SELGROS,13.04.2026 20:00,10.55
CARREFOUR,15.04.2026 04:00,8.79
CORA,15.04.2026 04:00,10.79
MEGA IMAGE SRL,15.04.2026 04:00,10.16
PROFI,15.04.2026 04:00,11.39
SELGROS,15.04.2026 04:00,10.55
AUCHAN,15.04.2026 20:00,8.51
CARREFOUR,15.04.2026 20:00,8.79
CORA,15.04.2026 20:00,10.66
MEGA IMAGE SRL,15.04.2026 20:00,9.89
PROFI,15.04.2026 20:00,11.24
SELGROS,15.04.2026 20:00,10.55
CARREFOUR,16.04.2026 04:00,8.79
CORA,16.04.2026 04:00,10.79
MEGA IMAGE SRL,16.04.2026 04:00,9.69
PROFI,16.04.2026 04:00,11.3
SELGROS,16.04.2026 04:00,10.55
AUCHAN,16.04.2026 20:00,8.79
CARREFOUR,16.04.2026 20:00,8.79
CORA,16.04.2026 20:00,10.79
MEGA IMAGE SRL,16.04.2026 20:00,9.69
PROFI,16.04.2026 20:00,11.21
SELGROS,16.04.2026 20:00,10.55
AUCHAN,17.04.2026 04:00,8.51
CARREFOUR,17.04.2026 04:00,8.79
CORA,17.04.2026 04:00,10.61
MEGA IMAGE SRL,17.04.2026 04:00,9.69
PROFI,17.04.2026 04:00,11.14
SELGROS,17.04.2026 04:00,10.55
