network,avg_price,min_price,max_price,stores
AUCHAN,13.17,10.6,13.99,23
CORA,13.49,13.49,13.49,5
KAUFLAND,13.99,13.99,13.99,71
CARREFOUR,14.45,13.99,15.99,55

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,13.99
KAUFLAND,13.04.2026 20:00,13.99
AUCHAN,15.04.2026 04:00,13.99
CARREFOUR,15.04.2026 04:00,14.05
CORA,15.04.2026 04:00,13.49
KAUFLAND,15.04.2026 04:00,13.99
AUCHAN,15.04.2026 20:00,13.17
CARREFOUR,15.04.2026 20:00,14.38
CORA,15.04.2026 20:00,13.49
KAUFLAND,15.04.2026 20:00,13.99
AUCHAN,16.04.2026 04:00,13.99
CARREFOUR,16.04.2026 04:00,13.99
CORA,16.04.2026 04:00,13.49
KAUFLAND,16.04.2026 04:00,13.99
AUCHAN,16.04.2026 20:00,13.99
CARREFOUR,16.04.2026 20:00,14.21
CORA,16.04.2026 20:00,13.49
KAUFLAND,16.04.2026 20:00,13.99
AUCHAN,17.04.2026 04:00,13.17
CARREFOUR,17.04.2026 04:00,14.45
CORA,17.04.2026 04:00,13.49
KAUFLAND,17.04.2026 04:00,13.99
