network,avg_price,min_price,max_price,stores
CORA,8.49,8.49,8.49,1
MEGA IMAGE SRL,8.77,8.69,9.29,29
AUCHAN,8.99,8.99,8.99,1
SELGROS,8.99,8.99,8.99,1
CARREFOUR,9.33,8.69,10.49,5
KAUFLAND,10.19,10.19,10.19,4
PROFI,10.19,10.19,10.19,2

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,8.99
CARREFOUR,15.04.2026 04:00,9.2
CORA,15.04.2026 04:00,8.49
KAUFLAND,15.04.2026 04:00,10.19
MEGA IMAGE SRL,15.04.2026 04:00,8.75
PROFI,15.04.2026 04:00,10.19
SELGROS,15.04.2026 04:00,8.99
AUCHAN,15.04.2026 20:00,9.06
CARREFOUR,15.04.2026 20:00,9.8
CORA,15.04.2026 20:00,8.49
KAUFLAND,15.04.2026 20:00,10.19
MEGA IMAGE SRL,15.04.2026 20:00,8.73
PROFI,15.04.2026 20:00,9.98
SELGROS,15.04.2026 20:00,8.99
AUCHAN,16.04.2026 04:00,8.99
CARREFOUR,16.04.2026 04:00,9.33
CORA,16.04.2026 04:00,8.49
KAUFLAND,16.04.2026 04:00,10.19
MEGA IMAGE SRL,16.04.2026 04:00,8.77
PROFI,16.04.2026 04:00,10.19
SELGROS,16.04.2026 04:00,8.99
