network,avg_price,min_price,max_price,stores
CORA,1.99,1.99,1.99,1
AUCHAN,2.09,2.09,2.09,1
MEGA IMAGE SRL,2.19,2.19,2.19,15
SELGROS,2.25,2.25,2.25,1
KAUFLAND,2.29,2.29,2.29,4
CARREFOUR,2.4,2.4,2.4,2

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,2.09
CARREFOUR,15.04.2026 04:00,2.4
CORA,15.04.2026 04:00,1.99
KAUFLAND,15.04.2026 04:00,2.29
MEGA IMAGE SRL,15.04.2026 04:00,2.2
SELGROS,15.04.2026 04:00,2.25
AUCHAN,15.04.2026 20:00,2.05
CARREFOUR,15.04.2026 20:00,2.37
CORA,15.04.2026 20:00,1.99
KAUFLAND,15.04.2026 20:00,2.29
MEGA IMAGE SRL,15.04.2026 20:00,2.19
SELGROS,15.04.2026 20:00,2.25
AUCHAN,16.04.2026 04:00,2.09
CARREFOUR,16.04.2026 04:00,2.4
CORA,16.04.2026 04:00,1.99
KAUFLAND,16.04.2026 04:00,2.29
MEGA IMAGE SRL,16.04.2026 04:00,2.19
SELGROS,16.04.2026 04:00,2.25
