network,avg_price,min_price,max_price,stores
AUCHAN,10.79,10.79,10.79,1
CARREFOUR,13.49,13.49,13.49,2
MEGA IMAGE SRL,14.89,14.89,14.89,1
CORA,14.99,14.99,14.99,1

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,10.79
CARREFOUR,15.04.2026 04:00,13.49
CORA,15.04.2026 04:00,14.99
MEGA IMAGE SRL,15.04.2026 04:00,14.89
AUCHAN,15.04.2026 20:00,10.79
CARREFOUR,15.04.2026 20:00,13.7
CORA,15.04.2026 20:00,14.99
MEGA IMAGE SRL,15.04.2026 20:00,14.89
AUCHAN,16.04.2026 04:00,10.79
CARREFOUR,16.04.2026 04:00,13.49
CORA,16.04.2026 04:00,14.99
MEGA IMAGE SRL,16.04.2026 04:00,14.89
