network,avg_price,min_price,max_price,stores
AUCHAN,12.42,11.99,13.39,13
CARREFOUR,14.2,13.99,19.99,86
SELGROS,16.09,16.09,16.09,17
CORA,17.49,17.49,17.49,5
KAUFLAND,18.09,18.09,18.09,167

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,13.99
KAUFLAND,13.04.2026 20:00,18.09
SELGROS,13.04.2026 20:00,16.09
CARREFOUR,15.04.2026 04:00,13.99
CORA,15.04.2026 04:00,17.49
KAUFLAND,15.04.2026 04:00,18.09
SELGROS,15.04.2026 04:00,16.09
AUCHAN,15.04.2026 20:00,12.46
CARREFOUR,15.04.2026 20:00,13.99
CORA,15.04.2026 20:00,17.49
KAUFLAND,15.04.2026 20:00,18.09
SELGROS,15.04.2026 20:00,16.09
CARREFOUR,16.04.2026 04:00,13.99
CORA,16.04.2026 04:00,17.49
KAUFLAND,16.04.2026 04:00,18.09
SELGROS,16.04.2026 04:00,16.09
AUCHAN,16.04.2026 20:00,11.99
CARREFOUR,16.04.2026 20:00,13.99
CORA,16.04.2026 20:00,17.49
KAUFLAND,16.04.2026 20:00,18.09
SELGROS,16.04.2026 20:00,16.09
AUCHAN,17.04.2026 04:00,12.42
CARREFOUR,17.04.2026 04:00,14.2
CORA,17.04.2026 04:00,17.49
KAUFLAND,17.04.2026 04:00,18.09
SELGROS,17.04.2026 04:00,16.09
