network,avg_price,min_price,max_price,stores
PROFI,6.74,6.69,6.79,2
AUCHAN,9.78,7.79,9.99,21
CORA,10.99,10.99,10.99,5

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,9.99
CORA,15.04.2026 04:00,10.99
AUCHAN,15.04.2026 20:00,9.81
CORA,15.04.2026 20:00,10.99
PROFI,15.04.2026 20:00,6.74
AUCHAN,16.04.2026 04:00,9.99
CORA,16.04.2026 04:00,10.99
AUCHAN,16.04.2026 20:00,9.99
CORA,16.04.2026 20:00,10.99
AUCHAN,17.04.2026 04:00,9.78
CORA,17.04.2026 04:00,10.99
PROFI,17.04.2026 04:00,6.74
