network,avg_price,min_price,max_price,stores
AUCHAN,9.82,9.05,9.99,27
CARREFOUR,9.99,9.99,9.99,38
CORA,10.23,9.99,10.29,5
MEGA IMAGE SRL,10.59,10.59,10.59,16
SELGROS,12.58,12.58,12.58,16
KAUFLAND,12.59,12.59,12.59,167

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,9.99
KAUFLAND,13.04.2026 20:00,12.59
SELGROS,13.04.2026 20:00,12.58
AUCHAN,15.04.2026 04:00,9.99
CARREFOUR,15.04.2026 04:00,9.99
CORA,15.04.2026 04:00,10.29
KAUFLAND,15.04.2026 04:00,12.59
MEGA IMAGE SRL,15.04.2026 04:00,10.59
SELGROS,15.04.2026 04:00,12.58
AUCHAN,15.04.2026 20:00,9.83
CARREFOUR,15.04.2026 20:00,9.99
CORA,15.04.2026 20:00,10.25
KAUFLAND,15.04.2026 20:00,12.59
MEGA IMAGE SRL,15.04.2026 20:00,10.59
SELGROS,15.04.2026 20:00,12.58
AUCHAN,16.04.2026 04:00,9.99
CARREFOUR,16.04.2026 04:00,9.99
CORA,16.04.2026 04:00,10.29
KAUFLAND,16.04.2026 04:00,12.59
MEGA IMAGE SRL,16.04.2026 04:00,10.59
SELGROS,16.04.2026 04:00,12.58
AUCHAN,16.04.2026 20:00,9.99
CARREFOUR,16.04.2026 20:00,9.99
CORA,16.04.2026 20:00,10.29
KAUFLAND,16.04.2026 20:00,12.59
MEGA IMAGE SRL,16.04.2026 20:00,10.59
SELGROS,16.04.2026 20:00,12.58
AUCHAN,17.04.2026 04:00,9.82
CARREFOUR,17.04.2026 04:00,9.99
CORA,17.04.2026 04:00,10.23
KAUFLAND,17.04.2026 04:00,12.59
MEGA IMAGE SRL,17.04.2026 04:00,10.59
SELGROS,17.04.2026 04:00,12.58
