network,avg_price,min_price,max_price,stores
AUCHAN,11.49,11.49,11.49,13
CARREFOUR,11.79,11.49,13.99,43
CORA,13.19,13.19,13.19,5

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,11.49
CARREFOUR,15.04.2026 04:00,11.54
CORA,15.04.2026 04:00,13.19
AUCHAN,15.04.2026 20:00,11.49
CARREFOUR,15.04.2026 20:00,11.85
CORA,15.04.2026 20:00,13.19
CARREFOUR,16.04.2026 04:00,11.49
CORA,16.04.2026 04:00,13.19
AUCHAN,16.04.2026 20:00,11.49
CARREFOUR,16.04.2026 20:00,11.56
CORA,16.04.2026 20:00,13.19
AUCHAN,17.04.2026 04:00,11.49
CARREFOUR,17.04.2026 04:00,11.79
CORA,17.04.2026 04:00,13.19
