network,avg_price,min_price,max_price,stores
PENNY,3.42,3.42,3.42,174
CARREFOUR,5.09,5.09,5.09,186
KAUFLAND,5.49,5.49,5.49,165
AUCHAN,5.69,5.69,5.69,18
SELGROS,5.79,5.79,5.79,17
CORA,5.99,5.99,5.99,5
PROFI,6.17,5.59,6.59,519
MEGA IMAGE SRL,6.39,6.39,6.39,177

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,5.09
KAUFLAND,13.04.2026 20:00,5.49
PENNY,13.04.2026 20:00,3.42
PROFI,13.04.2026 20:00,5.86
SELGROS,13.04.2026 20:00,5.79
AUCHAN,15.04.2026 04:00,5.69
CARREFOUR,15.04.2026 04:00,5.09
CORA,15.04.2026 04:00,5.99
KAUFLAND,15.04.2026 04:00,5.49
MEGA IMAGE SRL,15.04.2026 04:00,6.39
PENNY,15.04.2026 04:00,3.42
PROFI,15.04.2026 04:00,6.29
SELGROS,15.04.2026 04:00,5.79
AUCHAN,15.04.2026 20:00,5.69
CARREFOUR,15.04.2026 20:00,5.1
CORA,15.04.2026 20:00,5.99
KAUFLAND,15.04.2026 20:00,5.49
MEGA IMAGE SRL,15.04.2026 20:00,6.39
PENNY,15.04.2026 20:00,3.42
PROFI,15.04.2026 20:00,6.19
SELGROS,15.04.2026 20:00,5.79
AUCHAN,16.04.2026 04:00,5.69
CARREFOUR,16.04.2026 04:00,5.09
CORA,16.04.2026 04:00,5.99
KAUFLAND,16.04.2026 04:00,5.49
MEGA IMAGE SRL,16.04.2026 04:00,6.39
PROFI,16.04.2026 04:00,6.29
SELGROS,16.04.2026 04:00,5.79
AUCHAN,16.04.2026 20:00,5.69
CARREFOUR,16.04.2026 20:00,5.16
CORA,16.04.2026 20:00,5.99
KAUFLAND,16.04.2026 20:00,5.49
MEGA IMAGE SRL,16.04.2026 20:00,6.39
PROFI,16.04.2026 20:00,6.29
SELGROS,16.04.2026 20:00,5.79
AUCHAN,17.04.2026 04:00,5.69
CARREFOUR,17.04.2026 04:00,5.09
CORA,17.04.2026 04:00,5.99
KAUFLAND,17.04.2026 04:00,5.49
MEGA IMAGE SRL,17.04.2026 04:00,6.39
PENNY,17.04.2026 04:00,3.42
PROFI,17.04.2026 04:00,6.17
SELGROS,17.04.2026 04:00,5.79
