network,avg_price,min_price,max_price,stores
AUCHAN,10.99,10.99,10.99,1
CARREFOUR,12.35,12.35,12.35,2
CORA,15.49,15.49,15.49,1
MEGA IMAGE SRL,15.99,15.99,15.99,10
KAUFLAND,16.49,16.49,16.49,4

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,10.99
CARREFOUR,15.04.2026 04:00,12.35
CORA,15.04.2026 04:00,15.49
KAUFLAND,15.04.2026 04:00,16.49
MEGA IMAGE SRL,15.04.2026 04:00,15.99
PENNY,15.04.2026 04:00,11.99
AUCHAN,15.04.2026 20:00,12.12
CARREFOUR,15.04.2026 20:00,12.35
CORA,15.04.2026 20:00,15.49
KAUFLAND,15.04.2026 20:00,16.49
MEGA IMAGE SRL,15.04.2026 20:00,15.99
AUCHAN,16.04.2026 04:00,10.99
CARREFOUR,16.04.2026 04:00,12.35
CORA,16.04.2026 04:00,15.49
KAUFLAND,16.04.2026 04:00,16.49
MEGA IMAGE SRL,16.04.2026 04:00,15.99
