network,avg_price,min_price,max_price,stores
AUCHAN,24.89,24.89,24.89,1
CORA,25.69,25.69,25.69,1
MEGA IMAGE SRL,42.96,42.79,46.19,20
KAUFLAND,42.99,42.99,42.99,4
CARREFOUR,44.21,41.99,45.99,5

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,24.89
CARREFOUR,15.04.2026 04:00,44.01
CORA,15.04.2026 04:00,25.69
KAUFLAND,15.04.2026 04:00,42.99
MEGA IMAGE SRL,15.04.2026 04:00,43.78
PROFI,15.04.2026 04:00,17.15
AUCHAN,15.04.2026 20:00,24.89
CARREFOUR,15.04.2026 20:00,44.84
CORA,15.04.2026 20:00,25.69
KAUFLAND,15.04.2026 20:00,42.99
MEGA IMAGE SRL,15.04.2026 20:00,43.1
PROFI,15.04.2026 20:00,26.89
AUCHAN,16.04.2026 04:00,24.89
CARREFOUR,16.04.2026 04:00,44.21
CORA,16.04.2026 04:00,25.69
KAUFLAND,16.04.2026 04:00,42.99
MEGA IMAGE SRL,16.04.2026 04:00,42.96
