network,avg_price,min_price,max_price,stores
CARREFOUR,6.59,6.59,6.69,38
CORA,6.79,6.79,6.79,5
AUCHAN,6.99,6.99,6.99,15
KAUFLAND,7.49,7.49,7.49,167
MEGA IMAGE SRL,7.73,7.73,7.99,119
PROFI,7.96,6.89,8.99,669

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,6.59
KAUFLAND,13.04.2026 20:00,7.49
PROFI,13.04.2026 20:00,6.82
AUCHAN,15.04.2026 04:00,6.99
CARREFOUR,15.04.2026 04:00,6.62
CORA,15.04.2026 04:00,6.79
KAUFLAND,15.04.2026 04:00,7.49
MEGA IMAGE SRL,15.04.2026 04:00,7.73
PROFI,15.04.2026 04:00,7.01
AUCHAN,15.04.2026 20:00,6.99
CARREFOUR,15.04.2026 20:00,6.69
CORA,15.04.2026 20:00,6.79
KAUFLAND,15.04.2026 20:00,7.49
MEGA IMAGE SRL,15.04.2026 20:00,7.73
PROFI,15.04.2026 20:00,7.97
AUCHAN,16.04.2026 04:00,6.99
CARREFOUR,16.04.2026 04:00,6.59
CORA,16.04.2026 04:00,6.79
KAUFLAND,16.04.2026 04:00,7.49
MEGA IMAGE SRL,16.04.2026 04:00,7.73
PROFI,16.04.2026 04:00,7.99
AUCHAN,16.04.2026 20:00,6.99
CARREFOUR,16.04.2026 20:00,6.99
CORA,16.04.2026 20:00,6.79
KAUFLAND,16.04.2026 20:00,7.49
MEGA IMAGE SRL,16.04.2026 20:00,7.73
PROFI,16.04.2026 20:00,7.88
AUCHAN,17.04.2026 04:00,6.99
CARREFOUR,17.04.2026 04:00,6.59
CORA,17.04.2026 04:00,6.79
KAUFLAND,17.04.2026 04:00,7.49
MEGA IMAGE SRL,17.04.2026 04:00,7.73
PROFI,17.04.2026 04:00,7.96
