network,avg_price,min_price,max_price,stores
AUCHAN,28.15,26.99,32.39,25
SELGROS,31.06,31.06,31.06,13
KAUFLAND,32.39,32.39,32.39,165
MEGA IMAGE SRL,32.89,32.89,32.89,112
CARREFOUR,32.99,32.99,32.99,38

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,32.99
KAUFLAND,13.04.2026 20:00,32.39
SELGROS,13.04.2026 20:00,31.06
AUCHAN,15.04.2026 04:00,26.99
CARREFOUR,15.04.2026 04:00,32.99
KAUFLAND,15.04.2026 04:00,32.39
MEGA IMAGE SRL,15.04.2026 04:00,32.89
SELGROS,15.04.2026 04:00,31.06
AUCHAN,15.04.2026 20:00,28.06
CARREFOUR,15.04.2026 20:00,32.99
KAUFLAND,15.04.2026 20:00,32.39
MEGA IMAGE SRL,15.04.2026 20:00,32.89
SELGROS,15.04.2026 20:00,31.06
AUCHAN,16.04.2026 04:00,26.99
CARREFOUR,16.04.2026 04:00,32.99
KAUFLAND,16.04.2026 04:00,32.39
MEGA IMAGE SRL,16.04.2026 04:00,32.89
SELGROS,16.04.2026 04:00,31.06
AUCHAN,16.04.2026 20:00,26.99
CARREFOUR,16.04.2026 20:00,32.99
KAUFLAND,16.04.2026 20:00,32.39
MEGA IMAGE SRL,16.04.2026 20:00,32.89
SELGROS,16.04.2026 20:00,31.06
AUCHAN,17.04.2026 04:00,28.15
CARREFOUR,17.04.2026 04:00,32.99
KAUFLAND,17.04.2026 04:00,32.39
MEGA IMAGE SRL,17.04.2026 04:00,32.89
SELGROS,17.04.2026 04:00,31.06
