network,avg_price,min_price,max_price,stores
PENNY,7.09,7.09,7.09,2
CORA,9.99,9.99,9.99,5
SELGROS,13.63,13.63,13.63,17
MEGA IMAGE SRL,13.71,13.59,13.89,289
AUCHAN,13.79,13.79,13.79,22
PROFI,14.06,5.8,14.85,744
CARREFOUR,14.22,10.79,14.99,188

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,13.79
PROFI,13.04.2026 20:00,13.93
SELGROS,13.04.2026 20:00,13.63
AUCHAN,15.04.2026 04:00,13.79
CARREFOUR,15.04.2026 04:00,14.06
CORA,15.04.2026 04:00,9.99
MEGA IMAGE SRL,15.04.2026 04:00,13.7
PROFI,15.04.2026 04:00,14.21
SELGROS,15.04.2026 04:00,13.63
AUCHAN,15.04.2026 20:00,13.79
CARREFOUR,15.04.2026 20:00,14.22
CORA,15.04.2026 20:00,9.99
MEGA IMAGE SRL,15.04.2026 20:00,13.67
PENNY,15.04.2026 20:00,7.09
PROFI,15.04.2026 20:00,14.13
SELGROS,15.04.2026 20:00,13.63
AUCHAN,16.04.2026 04:00,13.79
CARREFOUR,16.04.2026 04:00,14.18
CORA,16.04.2026 04:00,9.99
MEGA IMAGE SRL,16.04.2026 04:00,13.61
PROFI,16.04.2026 04:00,14.09
SELGROS,16.04.2026 04:00,13.63
AUCHAN,16.04.2026 20:00,13.79
CARREFOUR,16.04.2026 20:00,14.21
CORA,16.04.2026 20:00,9.99
MEGA IMAGE SRL,16.04.2026 20:00,13.64
PROFI,16.04.2026 20:00,13.52
SELGROS,16.04.2026 20:00,13.63
AUCHAN,17.04.2026 04:00,13.79
CARREFOUR,17.04.2026 04:00,14.22
CORA,17.04.2026 04:00,9.99
MEGA IMAGE SRL,17.04.2026 04:00,13.71
PENNY,17.04.2026 04:00,7.09
PROFI,17.04.2026 04:00,14.06
SELGROS,17.04.2026 04:00,13.63
