network,avg_price,min_price,max_price,stores
AUCHAN,4.99,4.99,4.99,2
CORA,6.49,6.49,6.49,1
MEGA IMAGE SRL,6.7,6.69,6.79,16
CARREFOUR,6.79,6.69,6.99,5

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,4.99
CARREFOUR,15.04.2026 04:00,6.82
CORA,15.04.2026 04:00,6.49
MEGA IMAGE SRL,15.04.2026 04:00,6.73
AUCHAN,15.04.2026 20:00,4.99
CARREFOUR,15.04.2026 20:00,6.86
CORA,15.04.2026 20:00,6.49
MEGA IMAGE SRL,15.04.2026 20:00,6.7
PROFI,15.04.2026 20:00,6.59
AUCHAN,16.04.2026 04:00,4.99
CARREFOUR,16.04.2026 04:00,6.79
CORA,16.04.2026 04:00,6.49
MEGA IMAGE SRL,16.04.2026 04:00,6.7
