network,avg_price,min_price,max_price,stores
SELGROS,12.2,12.2,12.2,17
PROFI,15.43,14.19,16.75,735
AUCHAN,15.99,15.99,15.99,8
CARREFOUR,16.5,16.49,16.79,38
CORA,17.19,15.99,17.49,5

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,16.49
PROFI,13.04.2026 20:00,15.08
SELGROS,13.04.2026 20:00,12.2
CARREFOUR,15.04.2026 04:00,16.56
CORA,15.04.2026 04:00,17.49
PROFI,15.04.2026 04:00,15.69
SELGROS,15.04.2026 04:00,12.2
AUCHAN,15.04.2026 20:00,15.99
CARREFOUR,15.04.2026 20:00,16.51
CORA,15.04.2026 20:00,17.28
PROFI,15.04.2026 20:00,15.52
SELGROS,15.04.2026 20:00,12.2
CARREFOUR,16.04.2026 04:00,16.49
CORA,16.04.2026 04:00,17.49
PROFI,16.04.2026 04:00,15.79
SELGROS,16.04.2026 04:00,12.2
CARREFOUR,16.04.2026 20:00,16.59
CORA,16.04.2026 20:00,17.49
PROFI,16.04.2026 20:00,15.53
SELGROS,16.04.2026 20:00,12.2
AUCHAN,17.04.2026 04:00,15.99
CARREFOUR,17.04.2026 04:00,16.5
CORA,17.04.2026 04:00,17.19
PROFI,17.04.2026 04:00,15.43
SELGROS,17.04.2026 04:00,12.2
