network,avg_price,min_price,max_price,stores
SUPECO,3.09,3.09,3.09,7
AUCHAN,3.6,3.39,3.79,9
SELGROS,3.7,3.7,3.7,7
PROFI,3.9,3.49,4.05,19
KAUFLAND,4.79,4.79,4.79,5

network,price_date,avg_price
PROFI,13.04.2026 20:00,3.65
SELGROS,13.04.2026 20:00,3.7
AUCHAN,15.04.2026 20:00,3.6
KAUFLAND,15.04.2026 20:00,4.79
PROFI,15.04.2026 20:00,3.91
SELGROS,15.04.2026 20:00,3.7
SUPECO,15.04.2026 20:00,3.09
AUCHAN,17.04.2026 04:00,3.6
KAUFLAND,17.04.2026 04:00,4.79
PROFI,17.04.2026 04:00,3.9
SELGROS,17.04.2026 04:00,3.7
SUPECO,17.04.2026 04:00,3.09
