network,avg_price,min_price,max_price,stores
PENNY,71.99,71.99,71.99,2
PROFI,86.29,82.29,88.29,3
CORA,91.49,91.49,91.49,4
AUCHAN,116.99,116.99,116.99,11
SELGROS,119.0,119.0,119.0,5
CARREFOUR,124.94,119.19,154.9,35
KAUFLAND,139.89,139.89,139.89,31
MEGA IMAGE SRL,142.19,142.19,142.19,80

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,138.99
CARREFOUR,15.04.2026 04:00,89.99
KAUFLAND,15.04.2026 04:00,99.99
MEGA IMAGE SRL,15.04.2026 04:00,147.49
AUCHAN,15.04.2026 20:00,138.99
CARREFOUR,15.04.2026 20:00,91.84
CORA,15.04.2026 20:00,91.49
KAUFLAND,15.04.2026 20:00,139.89
MEGA IMAGE SRL,15.04.2026 20:00,147.49
PENNY,15.04.2026 20:00,71.99
PROFI,15.04.2026 20:00,86.29
SELGROS,15.04.2026 20:00,119.0
AUCHAN,17.04.2026 04:00,138.99
CARREFOUR,17.04.2026 04:00,91.84
CORA,17.04.2026 04:00,91.49
KAUFLAND,17.04.2026 04:00,139.89
MEGA IMAGE SRL,17.04.2026 04:00,147.49
PENNY,17.04.2026 04:00,71.99
PROFI,17.04.2026 04:00,86.29
SELGROS,17.04.2026 04:00,119.0
AUCHAN,17.04.2026 20:00,138.99
CARREFOUR,17.04.2026 20:00,122.67
CORA,17.04.2026 20:00,91.49
KAUFLAND,17.04.2026 20:00,139.89
MEGA IMAGE SRL,17.04.2026 20:00,147.49
PENNY,17.04.2026 20:00,71.99
PROFI,17.04.2026 20:00,86.29
SELGROS,17.04.2026 20:00,119.0
AUCHAN,18.04.2026 20:00,138.99
CARREFOUR,18.04.2026 20:00,122.67
CORA,18.04.2026 20:00,91.49
KAUFLAND,18.04.2026 20:00,139.89
MEGA IMAGE SRL,18.04.2026 20:00,147.49
PENNY,18.04.2026 20:00,71.99
PROFI,18.04.2026 20:00,86.29
SELGROS,18.04.2026 20:00,119.0
AUCHAN,19.04.2026 20:00,138.99
CARREFOUR,19.04.2026 20:00,122.67
CORA,19.04.2026 20:00,91.49
KAUFLAND,19.04.2026 20:00,139.89
MEGA IMAGE SRL,19.04.2026 20:00,147.49
PENNY,19.04.2026 20:00,71.99
PROFI,19.04.2026 20:00,86.29
SELGROS,19.04.2026 20:00,119.0
AUCHAN,20.04.2026 20:00,138.99
CARREFOUR,20.04.2026 20:00,124.88
CORA,20.04.2026 20:00,91.49
KAUFLAND,20.04.2026 20:00,139.89
MEGA IMAGE SRL,20.04.2026 20:00,147.49
PENNY,20.04.2026 20:00,71.99
PROFI,20.04.2026 20:00,86.29
SELGROS,20.04.2026 20:00,119.0
AUCHAN,21.04.2026 20:00,116.99
CARREFOUR,21.04.2026 20:00,124.79
CORA,21.04.2026 20:00,91.49
KAUFLAND,21.04.2026 20:00,139.89
MEGA IMAGE SRL,21.04.2026 20:00,147.49
PENNY,21.04.2026 20:00,71.99
PROFI,21.04.2026 20:00,86.29
SELGROS,21.04.2026 20:00,119.0
AUCHAN,22.04.2026 20:00,116.99
CARREFOUR,22.04.2026 20:00,124.79
CORA,22.04.2026 20:00,91.49
KAUFLAND,22.04.2026 20:00,139.89
MEGA IMAGE SRL,22.04.2026 20:00,142.19
PENNY,22.04.2026 20:00,71.99
PROFI,22.04.2026 20:00,86.29
SELGROS,22.04.2026 20:00,119.0
AUCHAN,23.04.2026 20:00,116.99
CARREFOUR,23.04.2026 20:00,124.79
CORA,23.04.2026 20:00,91.49
KAUFLAND,23.04.2026 20:00,139.89
MEGA IMAGE SRL,23.04.2026 20:00,142.19
PENNY,23.04.2026 20:00,71.99
PROFI,23.04.2026 20:00,86.29
SELGROS,23.04.2026 20:00,119.0
AUCHAN,24.04.2026 20:00,116.99
CARREFOUR,24.04.2026 20:00,124.94
CORA,24.04.2026 20:00,91.49
KAUFLAND,24.04.2026 20:00,139.89
MEGA IMAGE SRL,24.04.2026 20:00,142.19
PENNY,24.04.2026 20:00,71.99
PROFI,24.04.2026 20:00,86.29
SELGROS,24.04.2026 20:00,119.0
AUCHAN,25.04.2026 20:00,116.99
CARREFOUR,25.04.2026 20:00,124.94
CORA,25.04.2026 20:00,91.49
KAUFLAND,25.04.2026 20:00,139.89
MEGA IMAGE SRL,25.04.2026 20:00,142.19
PENNY,25.04.2026 20:00,71.99
PROFI,25.04.2026 20:00,86.29
SELGROS,25.04.2026 20:00,119.0
