network,avg_price,min_price,max_price,stores
CORA,14.39,13.99,14.49,5
KAUFLAND,14.99,14.99,14.99,164
SUPECO,14.99,14.99,14.99,19
CARREFOUR,15.99,15.99,15.99,27
AUCHAN,15.99,15.99,15.99,21
SELGROS,18.69,18.69,18.69,17

network,price_date,avg_price
KAUFLAND,13.04.2026 20:00,14.99
SELGROS,13.04.2026 20:00,18.69
AUCHAN,15.04.2026 04:00,15.99
CARREFOUR,15.04.2026 04:00,16.07
CORA,15.04.2026 04:00,14.49
KAUFLAND,15.04.2026 04:00,14.99
SELGROS,15.04.2026 04:00,18.69
SUPECO,15.04.2026 04:00,14.99
AUCHAN,15.04.2026 20:00,15.99
CARREFOUR,15.04.2026 20:00,16.0
CORA,15.04.2026 20:00,14.42
KAUFLAND,15.04.2026 20:00,14.99
SELGROS,15.04.2026 20:00,18.69
SUPECO,15.04.2026 20:00,14.99
AUCHAN,16.04.2026 04:00,15.99
CARREFOUR,16.04.2026 04:00,15.99
CORA,16.04.2026 04:00,14.49
KAUFLAND,16.04.2026 04:00,14.99
SELGROS,16.04.2026 04:00,18.69
AUCHAN,16.04.2026 20:00,15.99
CARREFOUR,16.04.2026 20:00,16.09
CORA,16.04.2026 20:00,14.49
KAUFLAND,16.04.2026 20:00,14.99
SELGROS,16.04.2026 20:00,18.69
AUCHAN,17.04.2026 04:00,15.99
CARREFOUR,17.04.2026 04:00,15.99
CORA,17.04.2026 04:00,14.39
KAUFLAND,17.04.2026 04:00,14.99
SELGROS,17.04.2026 04:00,18.69
SUPECO,17.04.2026 04:00,14.99
