network,avg_price,min_price,max_price,stores
CORA,8.99,8.99,8.99,1
CARREFOUR,9.99,9.99,9.99,7
MEGA IMAGE SRL,12.53,12.49,13.29,20
KAUFLAND,14.29,14.29,14.29,4
PROFI,14.99,14.99,14.99,2

network,price_date,avg_price
CARREFOUR,15.04.2026 04:00,10.44
CORA,15.04.2026 04:00,8.99
KAUFLAND,15.04.2026 04:00,14.29
MEGA IMAGE SRL,15.04.2026 04:00,12.7
PENNY,15.04.2026 04:00,14.29
PROFI,15.04.2026 04:00,14.99
SUPECO,15.04.2026 04:00,9.99
AUCHAN,15.04.2026 20:00,11.34
CARREFOUR,15.04.2026 20:00,10.9
CORA,15.04.2026 20:00,8.99
KAUFLAND,15.04.2026 20:00,14.29
MEGA IMAGE SRL,15.04.2026 20:00,12.56
PROFI,15.04.2026 20:00,15.29
CARREFOUR,16.04.2026 04:00,9.99
CORA,16.04.2026 04:00,8.99
KAUFLAND,16.04.2026 04:00,14.29
MEGA IMAGE SRL,16.04.2026 04:00,12.53
PROFI,16.04.2026 04:00,14.99
