network,avg_price,min_price,max_price,stores
CORA,7.49,7.49,7.49,4
KAUFLAND,8.59,8.59,8.59,30
CARREFOUR,9.19,8.99,9.99,21
MEGA IMAGE SRL,9.29,9.29,9.29,98
SUPECO,9.49,9.49,9.49,1
AUCHAN,10.19,10.19,10.19,1
SELGROS,10.3,10.3,10.3,5

network,price_date,avg_price
CARREFOUR,15.04.2026 04:00,8.99
KAUFLAND,15.04.2026 04:00,8.59
MEGA IMAGE SRL,15.04.2026 04:00,8.49
AUCHAN,15.04.2026 20:00,10.19
CARREFOUR,15.04.2026 20:00,9.19
CORA,15.04.2026 20:00,7.49
KAUFLAND,15.04.2026 20:00,8.59
MEGA IMAGE SRL,15.04.2026 20:00,8.49
SELGROS,15.04.2026 20:00,10.3
SUPECO,15.04.2026 20:00,8.49
AUCHAN,17.04.2026 04:00,10.19
CARREFOUR,17.04.2026 04:00,9.19
CORA,17.04.2026 04:00,7.49
KAUFLAND,17.04.2026 04:00,8.59
MEGA IMAGE SRL,17.04.2026 04:00,9.29
SELGROS,17.04.2026 04:00,10.3
SUPECO,17.04.2026 04:00,8.49
AUCHAN,17.04.2026 20:00,10.19
CARREFOUR,17.04.2026 20:00,9.19
CORA,17.04.2026 20:00,7.49
KAUFLAND,17.04.2026 20:00,8.59
MEGA IMAGE SRL,17.04.2026 20:00,9.29
SELGROS,17.04.2026 20:00,10.3
SUPECO,17.04.2026 20:00,9.49
