network,avg_price,min_price,max_price,stores
CORA,4.89,4.89,4.89,3
AUCHAN,5.29,5.29,5.29,15
KAUFLAND,5.29,5.29,5.29,167
CARREFOUR,5.52,5.49,6.1,59

network,price_date,avg_price
KAUFLAND,13.04.2026 20:00,5.29
AUCHAN,15.04.2026 04:00,5.29
CARREFOUR,15.04.2026 04:00,5.49
CORA,15.04.2026 04:00,4.89
KAUFLAND,15.04.2026 04:00,5.29
AUCHAN,15.04.2026 20:00,5.29
CARREFOUR,15.04.2026 20:00,5.49
CORA,15.04.2026 20:00,4.89
KAUFLAND,15.04.2026 20:00,5.29
AUCHAN,16.04.2026 04:00,5.29
CARREFOUR,16.04.2026 04:00,5.49
CORA,16.04.2026 04:00,4.89
KAUFLAND,16.04.2026 04:00,5.29
AUCHAN,16.04.2026 20:00,5.29
CARREFOUR,16.04.2026 20:00,5.49
CORA,16.04.2026 20:00,4.89
KAUFLAND,16.04.2026 20:00,5.29
AUCHAN,17.04.2026 04:00,5.29
CARREFOUR,17.04.2026 04:00,5.52
CORA,17.04.2026 04:00,4.89
KAUFLAND,17.04.2026 04:00,5.29
