network,avg_price,min_price,max_price,stores
AUCHAN,20.49,20.49,20.49,15
CORA,20.69,20.69,20.69,5
CARREFOUR,20.99,20.99,20.99,26
PROFI,22.85,21.29,23.59,213
KAUFLAND,22.89,22.89,22.89,82

network,price_date,avg_price
KAUFLAND,13.04.2026 20:00,22.89
PROFI,13.04.2026 20:00,22.36
AUCHAN,15.04.2026 04:00,20.49
CARREFOUR,15.04.2026 04:00,21.09
CORA,15.04.2026 04:00,20.69
KAUFLAND,15.04.2026 04:00,22.89
PROFI,15.04.2026 04:00,22.89
AUCHAN,15.04.2026 20:00,20.49
CARREFOUR,15.04.2026 20:00,21.01
CORA,15.04.2026 20:00,20.69
KAUFLAND,15.04.2026 20:00,22.89
PROFI,15.04.2026 20:00,22.89
AUCHAN,16.04.2026 04:00,20.49
CARREFOUR,16.04.2026 04:00,20.99
CORA,16.04.2026 04:00,20.69
KAUFLAND,16.04.2026 04:00,22.89
PROFI,16.04.2026 04:00,22.89
AUCHAN,16.04.2026 20:00,20.49
CARREFOUR,16.04.2026 20:00,21.12
CORA,16.04.2026 20:00,20.69
KAUFLAND,16.04.2026 20:00,22.89
PROFI,16.04.2026 20:00,22.89
AUCHAN,17.04.2026 04:00,20.49
CARREFOUR,17.04.2026 04:00,20.99
CORA,17.04.2026 04:00,20.69
KAUFLAND,17.04.2026 04:00,22.89
PROFI,17.04.2026 04:00,22.85
