network,avg_price,min_price,max_price,stores
PROFI,2.55,2.19,2.89,17
CORA,2.79,2.79,2.79,3
SELGROS,3.65,3.65,3.65,17
AUCHAN,3.83,2.7,4.19,7
CARREFOUR,4.09,4.09,4.15,38

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,4.09
SELGROS,13.04.2026 20:00,3.65
CARREFOUR,15.04.2026 04:00,4.11
CORA,15.04.2026 04:00,2.79
SELGROS,15.04.2026 04:00,3.65
AUCHAN,15.04.2026 20:00,3.82
CARREFOUR,15.04.2026 20:00,4.09
CORA,15.04.2026 20:00,2.79
PROFI,15.04.2026 20:00,2.56
SELGROS,15.04.2026 20:00,3.65
CARREFOUR,16.04.2026 04:00,4.09
CORA,16.04.2026 04:00,2.79
SELGROS,16.04.2026 04:00,3.65
AUCHAN,16.04.2026 20:00,2.7
CARREFOUR,16.04.2026 20:00,4.11
CORA,16.04.2026 20:00,2.79
SELGROS,16.04.2026 20:00,3.65
AUCHAN,17.04.2026 04:00,3.83
CARREFOUR,17.04.2026 04:00,4.09
CORA,17.04.2026 04:00,2.79
PROFI,17.04.2026 04:00,2.55
SELGROS,17.04.2026 04:00,3.65
