network,avg_price,min_price,max_price,stores
AUCHAN,5.89,5.89,5.89,1
KAUFLAND,5.89,5.89,5.89,4
CORA,6.09,6.09,6.09,1
PROFI,6.91,6.59,6.99,10
MEGA IMAGE SRL,6.99,6.99,6.99,1
SELGROS,7.22,7.22,7.22,1
CARREFOUR,7.24,6.79,7.49,4

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,5.89
CARREFOUR,15.04.2026 04:00,7.32
CORA,15.04.2026 04:00,6.09
KAUFLAND,15.04.2026 04:00,5.89
MEGA IMAGE SRL,15.04.2026 04:00,6.99
PROFI,15.04.2026 04:00,6.85
SELGROS,15.04.2026 04:00,7.22
AUCHAN,15.04.2026 20:00,5.89
CARREFOUR,15.04.2026 20:00,7.24
CORA,15.04.2026 20:00,6.09
KAUFLAND,15.04.2026 20:00,5.89
MEGA IMAGE SRL,15.04.2026 20:00,6.99
PROFI,15.04.2026 20:00,6.92
SELGROS,15.04.2026 20:00,7.22
AUCHAN,16.04.2026 04:00,5.89
CARREFOUR,16.04.2026 04:00,7.24
CORA,16.04.2026 04:00,6.09
KAUFLAND,16.04.2026 04:00,5.89
MEGA IMAGE SRL,16.04.2026 04:00,6.99
PROFI,16.04.2026 04:00,6.91
SELGROS,16.04.2026 04:00,7.22
