network,avg_price,min_price,max_price,stores
CORA,37.29,37.29,37.29,1
KAUFLAND,38.99,38.99,38.99,4
PROFI,39.16,38.99,39.99,6
MEGA IMAGE SRL,40.79,40.79,40.79,15
CARREFOUR,41.09,38.99,45.99,8
AUCHAN,41.69,41.69,41.69,2
SELGROS,41.75,41.75,41.75,1

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,41.69
CARREFOUR,15.04.2026 04:00,40.67
CORA,15.04.2026 04:00,37.29
KAUFLAND,15.04.2026 04:00,26.99
MEGA IMAGE SRL,15.04.2026 04:00,40.79
PROFI,15.04.2026 04:00,39.13
SELGROS,15.04.2026 04:00,41.75
AUCHAN,15.04.2026 20:00,40.27
CARREFOUR,15.04.2026 20:00,41.95
CORA,15.04.2026 20:00,37.29
KAUFLAND,15.04.2026 20:00,38.99
MEGA IMAGE SRL,15.04.2026 20:00,40.79
PROFI,15.04.2026 20:00,39.11
SELGROS,15.04.2026 20:00,41.75
AUCHAN,16.04.2026 04:00,41.69
CARREFOUR,16.04.2026 04:00,41.09
CORA,16.04.2026 04:00,37.29
KAUFLAND,16.04.2026 04:00,38.99
MEGA IMAGE SRL,16.04.2026 04:00,40.79
PROFI,16.04.2026 04:00,39.16
SELGROS,16.04.2026 04:00,41.75
