network,avg_price,min_price,max_price,stores
SELGROS,15.85,15.85,15.85,17
AUCHAN,16.91,15.99,17.19,32
CORA,16.99,16.99,16.99,5
KAUFLAND,16.99,16.99,16.99,167
MEGA IMAGE SRL,17.49,17.49,17.79,119
CARREFOUR,18.13,17.25,19.49,227

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,17.25
KAUFLAND,13.04.2026 20:00,16.99
SELGROS,13.04.2026 20:00,15.85
AUCHAN,15.04.2026 04:00,17.19
CARREFOUR,15.04.2026 04:00,17.66
CORA,15.04.2026 04:00,16.99
KAUFLAND,15.04.2026 04:00,16.99
MEGA IMAGE SRL,15.04.2026 04:00,17.49
SELGROS,15.04.2026 04:00,15.85
AUCHAN,15.04.2026 20:00,16.92
CARREFOUR,15.04.2026 20:00,18.17
CORA,15.04.2026 20:00,16.99
KAUFLAND,15.04.2026 20:00,16.99
MEGA IMAGE SRL,15.04.2026 20:00,17.49
SELGROS,15.04.2026 20:00,15.85
AUCHAN,16.04.2026 04:00,17.19
CARREFOUR,16.04.2026 04:00,17.66
CORA,16.04.2026 04:00,16.99
KAUFLAND,16.04.2026 04:00,16.99
MEGA IMAGE SRL,16.04.2026 04:00,17.49
SELGROS,16.04.2026 04:00,15.85
AUCHAN,16.04.2026 20:00,17.19
CARREFOUR,16.04.2026 20:00,17.94
CORA,16.04.2026 20:00,16.99
KAUFLAND,16.04.2026 20:00,16.99
MEGA IMAGE SRL,16.04.2026 20:00,17.49
SELGROS,16.04.2026 20:00,15.85
AUCHAN,17.04.2026 04:00,16.91
CARREFOUR,17.04.2026 04:00,18.13
CORA,17.04.2026 04:00,16.99
KAUFLAND,17.04.2026 04:00,16.99
MEGA IMAGE SRL,17.04.2026 04:00,17.49
SELGROS,17.04.2026 04:00,15.85
