network,avg_price,min_price,max_price,stores
PROFI,13.28,8.63,19.99,34
AUCHAN,26.63,20.99,28.49,24
CORA,27.07,26.19,27.29,5
CARREFOUR,29.61,28.49,31.99,80
SELGROS,32.97,32.97,32.97,17

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,28.49
SELGROS,13.04.2026 20:00,32.97
AUCHAN,15.04.2026 04:00,28.49
CARREFOUR,15.04.2026 04:00,29.0
CORA,15.04.2026 04:00,27.29
PROFI,15.04.2026 04:00,12.49
SELGROS,15.04.2026 04:00,32.97
AUCHAN,15.04.2026 20:00,26.83
CARREFOUR,15.04.2026 20:00,29.66
CORA,15.04.2026 20:00,27.13
PROFI,15.04.2026 20:00,13.37
SELGROS,15.04.2026 20:00,32.97
AUCHAN,16.04.2026 04:00,28.49
CARREFOUR,16.04.2026 04:00,28.99
CORA,16.04.2026 04:00,27.29
PROFI,16.04.2026 04:00,9.99
SELGROS,16.04.2026 04:00,32.97
AUCHAN,16.04.2026 20:00,28.49
CARREFOUR,16.04.2026 20:00,30.0
CORA,16.04.2026 20:00,27.29
PROFI,16.04.2026 20:00,14.99
SELGROS,16.04.2026 20:00,32.97
AUCHAN,17.04.2026 04:00,26.63
CARREFOUR,17.04.2026 04:00,29.61
CORA,17.04.2026 04:00,27.07
PROFI,17.04.2026 04:00,13.28
SELGROS,17.04.2026 04:00,32.97
