network,avg_price,min_price,max_price,stores
SELGROS,16.91,16.91,16.91,17
AUCHAN,16.99,15.99,17.49,10
CORA,17.19,17.19,17.19,5
PENNY,17.49,17.49,17.49,259
KAUFLAND,17.58,17.58,17.58,167
MEGA IMAGE SRL,17.99,17.39,18.69,181
SUPECO,18.39,18.39,18.39,19
CARREFOUR,18.65,17.39,19.99,273
PROFI,18.93,17.35,19.99,72

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,18.69
KAUFLAND,13.04.2026 20:00,17.58
PENNY,13.04.2026 20:00,17.49
SELGROS,13.04.2026 20:00,16.91
CARREFOUR,15.04.2026 04:00,18.34
CORA,15.04.2026 04:00,17.19
KAUFLAND,15.04.2026 04:00,17.58
MEGA IMAGE SRL,15.04.2026 04:00,18.0
PROFI,15.04.2026 04:00,19.25
SELGROS,15.04.2026 04:00,16.91
AUCHAN,15.04.2026 20:00,16.93
CARREFOUR,15.04.2026 20:00,18.67
CORA,15.04.2026 20:00,17.19
KAUFLAND,15.04.2026 20:00,17.58
MEGA IMAGE SRL,15.04.2026 20:00,17.72
PENNY,15.04.2026 20:00,17.49
PROFI,15.04.2026 20:00,19.11
SELGROS,15.04.2026 20:00,16.91
SUPECO,15.04.2026 20:00,18.39
CARREFOUR,16.04.2026 04:00,18.36
CORA,16.04.2026 04:00,17.19
KAUFLAND,16.04.2026 04:00,17.58
MEGA IMAGE SRL,16.04.2026 04:00,17.39
PROFI,16.04.2026 04:00,19.25
SELGROS,16.04.2026 04:00,16.91
AUCHAN,16.04.2026 20:00,17.39
CARREFOUR,16.04.2026 20:00,18.4
CORA,16.04.2026 20:00,17.19
KAUFLAND,16.04.2026 20:00,17.58
MEGA IMAGE SRL,16.04.2026 20:00,17.58
PENNY,16.04.2026 20:00,17.49
PROFI,16.04.2026 20:00,19.25
SELGROS,16.04.2026 20:00,16.91
AUCHAN,17.04.2026 04:00,16.99
CARREFOUR,17.04.2026 04:00,18.65
CORA,17.04.2026 04:00,17.19
KAUFLAND,17.04.2026 04:00,17.58
MEGA IMAGE SRL,17.04.2026 04:00,17.99
PENNY,17.04.2026 04:00,17.49
PROFI,17.04.2026 04:00,18.93
SELGROS,17.04.2026 04:00,16.91
SUPECO,17.04.2026 04:00,18.39
