network,avg_price,min_price,max_price,stores
CARREFOUR,17.65,17.59,18.49,34
PENNY,17.79,17.79,17.79,257
CORA,18.15,17.59,18.29,5
MEGA IMAGE SRL,19.99,19.99,19.99,12
AUCHAN,19.99,19.99,19.99,17
SELGROS,21.19,21.19,21.19,16

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,17.59
PENNY,13.04.2026 20:00,17.79
SELGROS,13.04.2026 20:00,21.19
AUCHAN,15.04.2026 04:00,19.99
CARREFOUR,15.04.2026 04:00,17.69
CORA,15.04.2026 04:00,18.29
MEGA IMAGE SRL,15.04.2026 04:00,19.99
SELGROS,15.04.2026 04:00,21.19
AUCHAN,15.04.2026 20:00,19.99
CARREFOUR,15.04.2026 20:00,17.71
CORA,15.04.2026 20:00,18.19
MEGA IMAGE SRL,15.04.2026 20:00,19.99
PENNY,15.04.2026 20:00,17.79
SELGROS,15.04.2026 20:00,21.19
AUCHAN,16.04.2026 04:00,19.99
CARREFOUR,16.04.2026 04:00,17.59
CORA,16.04.2026 04:00,18.29
MEGA IMAGE SRL,16.04.2026 04:00,19.99
SELGROS,16.04.2026 04:00,21.19
AUCHAN,16.04.2026 20:00,19.99
CARREFOUR,16.04.2026 20:00,17.83
CORA,16.04.2026 20:00,18.29
MEGA IMAGE SRL,16.04.2026 20:00,19.99
SELGROS,16.04.2026 20:00,21.19
AUCHAN,17.04.2026 04:00,19.99
CARREFOUR,17.04.2026 04:00,17.65
CORA,17.04.2026 04:00,18.15
MEGA IMAGE SRL,17.04.2026 04:00,19.99
PENNY,17.04.2026 04:00,17.79
SELGROS,17.04.2026 04:00,21.19
