network,avg_price,min_price,max_price,stores
MEGA IMAGE SRL,4.09,4.09,4.09,11
CORA,4.09,4.09,4.09,1
CARREFOUR,4.17,3.99,4.29,6
AUCHAN,4.19,4.19,4.19,2
KAUFLAND,4.49,4.49,4.49,4
SELGROS,4.98,4.98,4.98,1

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,4.19
CARREFOUR,15.04.2026 04:00,4.13
CORA,15.04.2026 04:00,4.09
KAUFLAND,15.04.2026 04:00,4.49
MEGA IMAGE SRL,15.04.2026 04:00,4.09
SELGROS,15.04.2026 04:00,4.98
AUCHAN,15.04.2026 20:00,4.19
CARREFOUR,15.04.2026 20:00,4.22
CORA,15.04.2026 20:00,4.09
KAUFLAND,15.04.2026 20:00,4.49
MEGA IMAGE SRL,15.04.2026 20:00,4.09
PROFI,15.04.2026 20:00,4.44
SELGROS,15.04.2026 20:00,4.98
AUCHAN,16.04.2026 04:00,4.19
CARREFOUR,16.04.2026 04:00,4.17
CORA,16.04.2026 04:00,4.09
KAUFLAND,16.04.2026 04:00,4.49
MEGA IMAGE SRL,16.04.2026 04:00,4.09
SELGROS,16.04.2026 04:00,4.98
